С,
,
,
1 000 kWh,хиляда киловатчаса
1 000 m3,хиляда кубични метра 
1 000 p/st,хиляда бройки
100 p/st,сто бройки
ce/el,брой клетки
c/k,карати (1 метричен карат = 2 × 10–4 kg) 
ct/l,капацитет на полезен товар в метрични тонове (товароподемност)(1) 
g,грам
gi F/S,грам разпадни изотопи
kg 90% sdt,"килограми маса, изсушена до 90 %"
kg H2O2,килограм водороден пероксид
kg K2O,килограм калиев оксид 
kg KOH,килограм калиев хидроксид 
kg met.am.,килограм метиламини
kg N,килограм азот 
kg NaOH,килограм натриев хидроксид (сода каустик)
kg P2O5,килограм дифосфорен пентаоксид 
kg U,килограм уран
kg/net eda,килограм нето отцедено тегло
l,литър 
l alc. 100%,литър чист алкохол (100 %)
m,метър
m2,квадратен метър
m3,кубичен метър
pa,чифт
p/st,бройки
t. CO2,Тон CO2 (въглероден диоксид) еквивалент(2) — без допълнителна мерна единица
TJ,тераджаул
,
,
"(1) Под капацитет на полезен товар в метрични тонове (ct/l) се разбира капацитетът на натоварване на кораб, изразен в метрични тонове, без да се вземат предвид транспортираните стоки, представляващи провизии (гориво, оборудване (апаратура, технически съоръжения), хранителни запаси и др.) Персоналът и пасажерите, както и техния багаж, също не се включват при изчисляването на капацитета на полезен товар.",
"(2) Съгласно определението в Регламент (ЕС) № 517/2014 на Европейския парламент и на Съвета за флуорсъдържащите парникови газове (OB L 150, 20.5.2014 г., стр. 195).",
